,Venue 1,Venue 2,Distance (mi),Duration (s),Duration (hhmm)
0,"San Francisco, California","Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA",191,14181,3:56
1,"San Francisco, California","D L Bliss State Park, California 89, South Lake Tahoe, CA",197,12542,3:29
2,"San Francisco, California","Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT",727,40019,11:06
3,"San Francisco, California","Arches National Park Visitor Center, Moab, UT",963,51219,14:13
4,"San Francisco, California","Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ",941,52195,14:29
5,"San Francisco, California","Island in the Sky Visitor Center, Grand View Point Road, Moab, UT",977,52252,14:30
6,"San Francisco, California","Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT",828,44894,12:28
7,"San Francisco, California","Moro Rock Trail, California",271,17833,4:57
8,"San Francisco, California","Horseshoe Bend Parking Lot, Page, AZ",842,46224,12:50
9,"San Francisco, California","Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ",790,43280,12:01
10,"San Francisco, California","Calf Creek Campground, Boulder, UT",886,48859,13:34
11,"San Francisco, California","Red Cliffs Recreation Area, Unnamed Road, Washington, UT",701,37753,10:29
12,"San Francisco, California","Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT",967,56656,15:44
13,"San Francisco, California","Kanarra Creek Trailhead, Kanarraville, UT",726,38997,10:49
14,"San Francisco, California","San Simeon, CA",240,13623,3:47
15,"San Francisco, California","Big Sur, CA",146,10654,2:57
16,"San Francisco, California","Carmel-by-the-Sea, CA",122,7211,2:00
17,"San Francisco, California","Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA",55,4191,1:09
18,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","D L Bliss State Park, California 89, South Lake Tahoe, CA",202,16572,4:36
19,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT",543,33917,9:25
20,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Arches National Park Visitor Center, Moab, UT",749,44587,12:23
21,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ",781,47170,13:06
22,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Island in the Sky Visitor Center, Grand View Point Road, Moab, UT",763,45620,12:40
23,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT",583,36194,10:03
24,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Moro Rock Trail, California",194,16194,4:29
25,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Horseshoe Bend Parking Lot, Page, AZ",658,40122,11:08
26,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ",682,40953,11:22
27,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Calf Creek Campground, Boulder, UT",641,40159,11:09
28,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Red Cliffs Recreation Area, Unnamed Road, Washington, UT",517,31652,8:47
29,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT",788,49170,13:39
30,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Kanarra Creek Trailhead, Kanarraville, UT",498,31090,8:38
31,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","San Simeon, CA",257,17927,4:58
32,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Big Sur, CA",225,17847,4:57
33,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Carmel-by-the-Sea, CA",201,14404,4:00
34,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA",208,15060,4:11
35,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT",586,35598,9:53
36,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Arches National Park Visitor Center, Moab, UT",808,43281,12:01
37,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ",823,48851,13:34
38,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Island in the Sky Visitor Center, Grand View Point Road, Moab, UT",822,44314,12:18
39,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT",607,37802,10:30
40,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Moro Rock Trail, California",360,23898,6:38
41,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Horseshoe Bend Parking Lot, Page, AZ",701,41803,11:36
42,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ",738,43372,12:02
43,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Calf Creek Campground, Boulder, UT",665,41767,11:36
44,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Red Cliffs Recreation Area, Unnamed Road, Washington, UT",559,33332,9:15
45,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT",790,48618,13:30
46,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Kanarra Creek Trailhead, Kanarraville, UT",540,32771,9:06
47,"D L Bliss State Park, California 89, South Lake Tahoe, CA","San Simeon, CA",411,24171,6:42
48,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Big Sur, CA",323,21397,5:56
49,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Carmel-by-the-Sea, CA",298,17954,4:59
50,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA",246,15718,4:21
51,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Arches National Park Visitor Center, Moab, UT",341,18540,5:09
52,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ",241,15373,4:16
53,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Island in the Sky Visitor Center, Grand View Point Road, Moab, UT",355,19573,5:26
54,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT",85,6704,1:51
55,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Moro Rock Trail, California",556,34312,9:31
56,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Horseshoe Bend Parking Lot, Page, AZ",118,8326,2:18
57,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ",248,16749,4:39
58,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Calf Creek Campground, Boulder, UT",143,10668,2:57
59,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Red Cliffs Recreation Area, Unnamed Road, Washington, UT",34,2904,0:48
60,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT",302,19958,5:32
