,Venue 1,Venue 2,Duration (hhmm),Distance (mi)
0,"Red Cliffs Recreation Area, Unnamed Road, Washington, UT","Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT",0:48,34
1,"Zion National Park Visitor Center, Zion – Mount Carmel Highway, Hurricane, UT","Horseshoe Bend Parking Lot, Page, AZ",2:18,118
2,"Horseshoe Bend Parking Lot, Page, AZ","Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ",2:24,132
3,"Grand Canyon Visitor Center, South Entrance Road, Grand Canyon Village, AZ","Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ",3:07,177
4,"Monument Valley Navajo Tribal Park, Main Monument Valley Road, Oljato-Monument Valley, AZ","Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT",1:23,66
5,"Natural Bridges Visitor Center, Natural Bridge, Lake Powell, UT","Arches National Park Visitor Center, Moab, UT",2:14,119
6,"Arches National Park Visitor Center, Moab, UT","Island in the Sky Visitor Center, Grand View Point Road, Moab, UT",0:36,29
7,"Island in the Sky Visitor Center, Grand View Point Road, Moab, UT","Calf Creek Campground, Boulder, UT",3:54,213
8,"Calf Creek Campground, Boulder, UT","Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT",1:21,66
9,"Bryce Canyon National Park Visitor Center, Utah 63, Bryce, UT","Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA",10:03,583
10,"Yosemite Valley Visitor Center, Village Drive, Yosemite Valley, CA","Moro Rock Trail, California",4:29,194
11,"Moro Rock Trail, California","San Simeon, CA",3:59,196
12,"San Simeon, CA","Big Sur, CA",2:21,80
13,"Big Sur, CA","Carmel-by-the-Sea, CA",1:03,26
14,"Carmel-by-the-Sea, CA","Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA",1:25,70
15,"Castle Rock Entrance Station Parking Lot, Unnamed Road, Saratoga, CA","San Francisco, California",1:09,55
16,"San Francisco, California","D L Bliss State Park, California 89, South Lake Tahoe, CA",3:29,197
17,"D L Bliss State Park, California 89, South Lake Tahoe, CA","Kanarra Creek Trailhead, Kanarraville, UT",9:06,540
18,"Kanarra Creek Trailhead, Kanarraville, UT","Red Cliffs Recreation Area, Unnamed Road, Washington, UT",0:31,27
